Column1;Column2;Column3
SW[1.000000] HW[1.100000] Date[1970-01-01 00:00:00];;
Timestamp; FSR1; FSR2
6678;1271;2908
6681;1275;2872
6685;1276;2839
6688;1274;2797
6692;1259;2764
6696;1259;2716
6699;1260;2679
6703;1259;2631
6706;1247;2576
6710;1213;2525
6713;1179;2463
6717;1133;2399
6720;1114;2344
6724;1101;2283
6728;1097;2219
6731;1088;2152
6735;1086;2064
6738;1083;1980
6742;1080;1868
6745;1069;1785
6749;1066;1687
6752;1064;1579
6756;1052;1451
6760;1049;1323
6763;1040;1240
6767;1036;1119
6770;1024;1004
6774;1022;940
6777;1019;859
6781;1018;777
6784;1016;744
6788;1016;684
6792;1005;635
6795;1004;620
6799;1004;606
6802;1003;600
6806;1003;587
6809;1003;575
6813;1002;568
6817;1000;554
6820;1000;539
6824;1000;523
6827;992;504
6831;998;487
6834;991;462
6838;989;443
6841;989;415
6845;987;396
6849;986;379
6852;984;363
6856;984;349
6859;983;333
6863;984;319
6866;985;301
6870;985;287
6873;988;271
6877;986;255
6881;988;240
6884;988;233
6888;990;221
6891;989;218
6895;990;218
6898;989;207
6902;990;202
6905;998;187
6909;991;188
6913;989;189
6916;989;190
6920;990;189
6923;988;191
6927;988;186
6930;988;188
6934;988;189
6938;988;189
6941;989;188
6945;988;188
6948;988;187
6952;988;188
6955;988;188
6959;987;190
6962;987;187
6966;987;189
6970;987;188
6973;986;186
6977;987;187
6980;987;187
6984;987;187
6987;987;187
6991;987;185
6994;986;187
6998;985;186
7002;986;184
7005;985;184
7009;986;183
7012;986;183
7016;986;182
7019;986;183
7023;985;174
7026;986;175
7030;985;174
7034;986;174
7037;985;175
7041;984;174
7044;985;173
7048;984;173
7051;985;175
7055;984;174
7059;984;174
7062;986;172
7066;984;173
7069;984;173
7073;985;172
7076;983;173
7080;984;174
7083;975;181
7087;984;172
7091;985;174
7094;984;173
7098;984;174
7101;983;173
7105;983;171
7108;983;174
7112;976;172
7115;983;173
7119;983;173
7123;983;172
7126;984;172
7130;982;172
7133;975;172
7137;975;171
7140;983;172
7144;983;172
7147;976;172
7151;983;172
7155;976;172
7158;975;172
7162;983;171
7165;975;172
7169;974;172
7172;983;172
7176;976;173
7180;975;172
7183;982;171
7187;975;171
7190;976;172
7194;984;173
7197;976;172
7201;975;173
7204;975;172
7208;974;172
7212;974;173
7215;975;173
7219;975;174
7222;974;172
7226;974;173
7229;975;174
7233;981;175
7236;974;172
7240;974;174
7244;975;173
7247;975;181
7251;974;182
7254;974;175
7258;975;182
7261;973;182
7265;974;174
7268;974;176
7272;972;184
7276;974;176
7279;975;183
7283;974;176
7286;973;183
7290;974;184
7293;973;183
7297;973;185
7300;972;184
7304;972;186
7308;972;184
7311;973;184
7315;972;185
7318;973;184
7322;973;186
7325;972;186
7329;973;186
7333;972;185
7336;972;185
7340;971;186
7343;973;185
7347;972;186
7350;972;187
7354;973;186
7357;972;187
7361;973;186
7365;973;187
7368;972;186
7372;973;187
7375;972;186
7379;972;186
7382;970;188
7386;973;187
7389;973;188
7393;971;188
7397;972;188
7400;971;187
7404;973;189
7407;971;189
7411;972;189
7414;971;191
7418;971;191
7421;971;191
7425;971;190
7429;971;190
7432;970;199
7436;970;198
7439;970;192
7443;969;191
7446;970;191
7450;973;201
7454;970;199
7457;970;201
7461;971;200
7464;969;200
7468;971;200
7471;970;200
7475;969;200
7478;970;201
7482;971;201
7486;970;202
7489;970;201
7493;970;200
7496;970;201
7500;971;201
7503;970;202
7507;970;203
7510;970;202
7514;969;202
7518;968;205
7521;969;205
7525;968;204
7528;970;205
7532;969;207
7535;969;212
7539;969;216
7542;968;207
7546;968;206
7550;969;208
7553;967;208
7557;968;207
7560;968;208
7564;968;217
7567;969;217
7571;968;218
7575;968;217
7578;967;218
7582;968;218
7585;968;219
7589;967;218
7592;966;219
7596;967;219
7599;968;218
7603;969;219
7607;967;219
7610;966;218
7614;967;218
7617;968;219
7621;966;218
7624;967;218
7628;956;250
7631;955;280
7635;953;296
7639;957;472
7642;969;744
7646;975;1016
7649;987;1319
7653;1001;1608
7656;1007;1819
7660;1018;1981
7663;1019;2078
7667;1019;2200
7671;1023;2317
7674;1024;2400
7678;1024;2488
7681;1035;2558
7685;1036;2648
7688;1038;2728
7692;1038;2782
7696;1040;2840
7699;1040;2894
7703;1040;2936
7706;1039;2974
7710;1040;3017
7713;1040;3039
7717;1040;3069
7720;1049;3100
7724;1048;3116
7728;1040;3132
7731;1040;3148
7735;1040;3167
7738;1040;3179
7742;1040;3195
7745;1040;3212
7749;1048;3229
7752;1040;3243
7756;1039;3256
7760;1039;3272
7763;1040;3287
7767;1040;3296
7770;1040;3321
7774;1040;3336
7777;1040;3354
7781;1040;3371
7784;1040;3392
7788;1048;3419
7792;1040;3449
7795;1040;3472
7799;1051;3500
7802;1049;3530
7806;1051;3551
7809;1050;3581
7813;1050;3610
7817;1051;3628
7820;1052;3648
7824;1051;3673
7827;1052;3689
7831;1051;3705
7834;1052;3722
7838;1049;3738
7841;1049;3755
7845;1050;3770
7849;1040;3784
7852;1049;3791
7856;1040;3815
7859;1040;3824
7863;1040;3838
7866;1039;3852
7870;1040;3866
7873;1040;3879
7877;1039;3887
7881;1039;3903
7884;1047;3917
7888;1040;3931
7891;1040;3944
7895;1040;3951
7898;1038;3965
7902;1040;3977
7905;1040;3983
7909;1048;3995
7913;1049;4008
7916;1040;4013
7920;1050;4025
7923;1050;4032
7927;1050;4040
7930;1050;4043
7934;1050;4047
7937;1050;4059
7941;1052;4062
7945;1052;4072
7948;1052;4076
7952;1054;4078
7955;1055;4090
7959;1055;4093
7962;1064;4095
7966;1063;4095
7970;1064;4095
7973;1066;4095
7977;1066;4095
7980;1067;4095
7984;1069;4095
7987;1069;4095
7991;1070;4095
7994;1080;4095
7998;1080;4095
8002;1081;4095
8005;1082;4095
8009;1081;4095
8012;1083;4095
8016;1083;4095
8019;1084;4095
8023;1086;4095
8026;1086;4095
8030;1095;4095
8034;1097;4095
8037;1098;4095
8041;1099;4095
8044;1100;4095
8048;1102;4095
8051;1111;4095
8055;1112;4095
8058;1112;4095
8062;1114;4095
8066;1113;4095
8069;1117;4095
8073;1119;4095
8076;1120;4095
8080;1128;4095
8083;1146;4095
8087;1226;4095
8091;1308;4091
8094;1390;4089
8098;1487;4077
8101;1596;4075
8105;1694;4072
8108;1786;4060
8112;1853;4055
8115;1945;4042
8119;1977;4031
8123;2015;4026
8126;2076;4023
8130;2125;4011
8133;2203;4000
8137;2267;3992
8140;2329;3979
8144;2376;3968
8147;2430;3962
8151;2475;3959
8155;2510;3947
8158;2555;3935
8162;2587;3930
8165;2620;3928
8169;2669;3918
8172;2696;3914
8176;2715;3912
8179;2732;3901
8183;2760;3896
8187;2776;3897
8190;2798;3886
8194;2827;3882
8197;2843;3882
8201;2873;3871
8204;2891;3870
8208;2907;3868
8212;2920;3865
8215;2935;3865
8219;2942;3855
8222;2957;3853
8226;2975;3854
8229;3000;3853
8233;3006;3850
8236;3016;3848
8240;3032;3837
8244;3039;3835
8247;3064;3831
8251;3071;3822
8254;3088;3816
8258;3102;3816
8261;3112;3805
8265;3127;3802
8268;3133;3792
8272;3162;3789
8276;3176;3789
8279;3180;3786
8283;3195;3776
8286;3208;3773
8290;3214;3769
8293;3228;3768
8297;3240;3758
8300;3246;3753
8304;3261;3742
8308;3272;3739
8311;3288;3727
8315;3304;3726
8318;3320;3723
8322;3326;3711
8325;3340;3709
8329;3353;3703
8333;3355;3691
8336;3368;3678
8340;3376;3660
8343;3390;3655
8347;3407;3642
8350;3423;3630
8354;3436;3622
8357;3451;3610
8361;3464;3595
8365;3470;3578
8368;3484;3575
8372;3496;3559
8375;3502;3544
8379;3514;3516
8382;3528;3499
8386;3543;3485
8389;3548;3467
8393;3563;3449
8397;3577;3432
8400;3593;3415
8404;3597;3401
8407;3611;3375
8411;3624;3359
8414;3630;3340
8418;3640;3320
8421;3648;3292
8425;3661;3277
8429;3674;3260
8432;3678;3241
8436;3690;3224
8439;3694;3200
8443;3704;3180
8446;3708;3150
8450;3721;3131
8454;3725;3102
8457;3736;3069
8461;3739;3048
8464;3752;3018
8468;3757;2986
8471;3767;2955
8475;3772;2923
8478;3783;2878
